LECROYWS4024HD,18501,Waveform
Segments,1,SegmentSize,49897
Segment,TrigTime,TimeSinceSegment1
#1,17-Oct-2025 21:19:14,0                 
Time,Ampl
3.729195e-006,0.00543809198
3.729595e-006,0.00544397418
3.729995e-006,0.00544250363
3.730395e-006,0.00543220979
3.730795e-006,0.00541162209
3.731195e-006,0.00538368165
3.731595e-006,0.00534691792
3.731995e-006,0.00530133088
3.732395e-006,0.00524986165
3.732795e-006,0.00518956912
3.733195e-006,0.00512192385
3.733595e-006,0.00504692582
3.733995e-006,0.00496751615
3.734395e-006,0.00488075373
3.734795e-006,0.00478957966
3.735195e-006,0.0046925234
3.735595e-006,0.00459252603
3.735995e-006,0.00448811702
3.736395e-006,0.00438223746
3.736795e-006,0.00427194625
3.737195e-006,0.00416165503
3.737595e-006,0.00404989327
3.737995e-006,0.00393813151
3.738395e-006,0.0038248992
3.738795e-006,0.00371460799
3.739195e-006,0.00360431678
3.739595e-006,0.00349696667
3.739995e-006,0.00339255765
3.740395e-006,0.00329108974
3.740795e-006,0.00319256293
3.741195e-006,0.00309991831
3.741595e-006,0.00301168534
3.741995e-006,0.00292933457
3.742395e-006,0.00285139545
3.742795e-006,0.00278080907
3.743195e-006,0.00271757544
3.743595e-006,0.00266022401
3.743995e-006,0.00261022533
3.744395e-006,0.0025675794
3.744795e-006,0.00253228621
3.745195e-006,0.00250581632
3.745595e-006,0.00248669917
3.745995e-006,0.00247640533
3.746395e-006,0.00247346423
3.746795e-006,0.00247787588
3.747195e-006,0.00249111082
3.747595e-006,0.00251169852
3.747995e-006,0.00253963896
3.748395e-006,0.00257493214
3.748795e-006,0.00261904863
3.749195e-006,0.00266904731
3.749595e-006,0.00272639874
3.749995e-006,0.00278963237
3.750395e-006,0.00285874819
3.750795e-006,0.00293374622
3.751195e-006,0.00301315589
3.751595e-006,0.00309844776
3.751995e-006,0.00318668073
3.752395e-006,0.00327932534
3.752795e-006,0.00337491106
3.753195e-006,0.00347343788
3.753595e-006,0.00357490579
3.753995e-006,0.0036763737
3.754395e-006,0.00378078272
3.754795e-006,0.00388519173
3.755195e-006,0.00398960074
3.755595e-006,0.00409253921
3.755995e-006,0.00419547767
3.756395e-006,0.00429694559
3.756795e-006,0.00439694295
3.757195e-006,0.00449252867
3.757595e-006,0.00458664383
3.757995e-006,0.0046778179
3.758395e-006,0.00476458032
3.758795e-006,0.00484693109
3.759195e-006,0.00492487022
3.759595e-006,0.00499839769
3.759995e-006,0.00506457242
3.760395e-006,0.00512633549
3.760795e-006,0.00518221637
3.761195e-006,0.00523221506
3.761595e-006,0.00527486099
3.761995e-006,0.00531015418
3.762395e-006,0.00533956517
3.762795e-006,0.00536162341
3.763195e-006,0.00537632891
3.763595e-006,0.00538368165
3.763995e-006,0.00538368165
3.764395e-006,0.00537632891
3.764795e-006,0.00536162341
3.765195e-006,0.00534103572
3.765595e-006,0.00531162473
3.765995e-006,0.00527486099
3.766395e-006,0.00523221506
3.766795e-006,0.00518221637
3.767195e-006,0.00512633549
3.767595e-006,0.00506457242
3.767995e-006,0.00499545659
3.768395e-006,0.00492045857
3.768795e-006,0.00484104889
3.769195e-006,0.00475575702
3.769595e-006,0.00466458296
3.769995e-006,0.00457046779
3.770395e-006,0.00447194097
3.770795e-006,0.00436900251
3.771195e-006,0.00426312295
3.771595e-006,0.00415430229
3.771995e-006,0.00404401108
3.772395e-006,0.00393224931
3.772795e-006,0.00381754646
3.773195e-006,0.0037028436
3.773595e-006,0.00358814074
3.773995e-006,0.00347343788
3.774395e-006,0.00336020557
3.774795e-006,0.00324697326
3.775195e-006,0.00313668205
3.775595e-006,0.00302786138
3.775995e-006,0.00292198182
3.776395e-006,0.00282051391
3.776795e-006,0.00272051654
3.777195e-006,0.00262640137
3.777595e-006,0.00253522731
3.777995e-006,0.00244993544
3.778395e-006,0.00237052576
3.778795e-006,0.00229552774
3.779195e-006,0.00222641192
3.779595e-006,0.00216464884
3.779995e-006,0.00210876796
3.780395e-006,0.00205876927
3.780795e-006,0.00201759389
